frame,path,two_theta,normalized_intensity,prominence,width_deg,peak_group,group_two_theta,delta_from_group,source_methods,source_count,confidence_tier,tier_score,accepted_standard,raw_intensity,residual_height,conventional_prominence,matched_filter_responses,best_matched_scale,best_matched_response,local_center_height,left_side_rise,right_side_rise,two_sided_contrast,local_noise,local_shape_snr,local_slope,local_curvature,width_estimate_deg,nearest_stronger_peak_deg,likely_shoulder,top_peaks_truncated
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,2.721717,3.46726e-05,3.46726e-05,0.00740163,,,,shoulder,1,C,100,0,-0.0675074,-0.00627344,3.46726e-05,,,0,0,0,0,0,0,0,0,0,0.00740163,0.0420701,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,2.763788,0.510175,0.510175,0.0149088,20,2.763751,3.65593e-05,matched;micro;raw;shoulder,4,A,2408.53,1,-0.0497238,-0.00156043,0.00355419,w2:0.510175,2,0.510175,0.00192182,0.00203085,0.00373343,0.00203085,0.0025322,0.802009,0.132836,0.0017313,0.0149088,0.112187,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,2.875975,0.00339879,2.13966,0,23,2.874323,0.00165193,matched;micro;raw;residual;shoulder,5,A,2539.36,1,-0.0376271,0.00542394,0.00329364,w2:1.22756;w3:1.83464;w5:2.13966;w8:0.279308,5,2.13966,0.00696939,0.00849298,0.0086722,0.00849298,0.00228204,3.72166,0.079986,0.000108126,0,2.28581,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,2.918045,0.00601844,0.00601844,0.0809756,24,2.921953,-0.00390873,micro;raw;shoulder,3,A,2311.37,1,-0.032761,0.00459905,0.00601844,,,0,0.00388495,0.00492068,0.00673578,0.00492068,0.00432822,1.13688,0.0737139,0.000824309,0.0809756,0.0420701,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,3.030232,0.00476919,0.000774434,0.00796875,,,,raw,1,C,100.001,0,-0.0277034,0.00265605,0.000774434,,,0,-0.00148168,0.002876,-0.000816373,-0.000816373,0.00438022,-0.186377,0.0781484,0.000299386,0.00796875,0.0280467,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,3.058278,0.869675,0.869675,0.0850814,28,3.063378,-0.00509992,matched;shoulder,2,A,2207.26,1,-0.0261107,0.005063,0.00176952,w2:0.869675;w3:0.41892,2,0.869675,0.00143884,0.00415407,0.00245133,0.00245133,0.00383531,0.639148,0.0835226,0.000698714,0.0850814,0.0841402,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,3.086325,0.00469936,0.00392557,0.0122357,29,3.112970,-0.0266445,micro;raw,2,A,2206.25,1,-0.0230844,0.00469936,0.00392557,,,0,0.00170089,0.00371204,0.00221724,0.00221724,0.00354788,0.624949,0.0779926,0.000308093,0.0122357,0.0280467,0,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,3.142419,0.00763619,3.13592,0.44241,30,3.137913,0.00450529,bump;matched;residual,3,A,2316.82,1,-0.0204843,0.00635045,0.014452,w8:3.13592,8,3.13592,0.00521477,0.00577053,0.00766748,0.00577053,0.00422266,1.36656,0.0369043,-0.000614853,0.44241,0.0280467,0,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,3.170465,3.12918,3.12918,0,31,3.163084,0.00738173,matched;micro;raw;shoulder,4,A,2445.73,1,-0.0128899,0.012057,0.0146569,w2:1.71198;w3:2.35353;w5:3.12918,5,3.12918,0.0121633,0.0113337,0.0135202,0.0113337,0.00266161,4.25821,0.015862,0.00242577,0,0.294491,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,3.254606,0.00157015,0.00157015,0.00982751,34,3.250114,0.0044918,raw;shoulder,2,B,1200,1,-0.0215827,-0.00300496,0.00157015,,,0,-0.00330414,-0.000460383,0.000590245,-0.000460383,0.00497952,-0.0924553,-0.0040504,-7.34959e-05,0.00982751,0.0841402,1,0
