peak_group,group_two_theta,frame_a,frame_b,present_a,present_b,area_a,area_b,similarity
1,2.048103,1GPa,0.7GPa,0,0,0,0,
1,2.048103,1.3GPa,0.7GPa,0,0,0,0,
1,2.048103,1.3GPa,1GPa,0,0,0,0,
1,2.048103,1.5GPa,0.7GPa,0,0,0,0,
1,2.048103,1.5GPa,1GPa,0,0,0,0,
1,2.048103,1.5GPa,1.3GPa,0,0,0,0,
1,2.048103,2.3GPa,0.7GPa,0,0,0,0,
1,2.048103,2.3GPa,1GPa,0,0,0,0,
1,2.048103,2.3GPa,1.3GPa,0,0,0,0,
1,2.048103,2.3GPa,1.5GPa,0,0,0,0,
1,2.048103,2.4GPa_decomp,0.7GPa,0,0,0,0,
1,2.048103,2.4GPa_decomp,1GPa,0,0,0,0,
1,2.048103,2.4GPa_decomp,1.3GPa,0,0,0,0,
1,2.048103,2.4GPa_decomp,1.5GPa,0,0,0,0,
1,2.048103,2.4GPa_decomp,2.3GPa,0,0,0,0,
1,2.048103,3.9GPa,0.7GPa,1,0,0,0,0
1,2.048103,3.9GPa,1GPa,1,0,0,0,0
1,2.048103,3.9GPa,1.3GPa,1,0,0,0,0
1,2.048103,3.9GPa,1.5GPa,1,0,0,0,0
1,2.048103,3.9GPa,2.3GPa,1,0,0,0,0
1,2.048103,3.9GPa,2.4GPa_decomp,1,0,0,0,0
1,2.048103,5GPa,0.7GPa,0,0,0,0,
1,2.048103,5GPa,1GPa,0,0,0,0,
1,2.048103,5GPa,1.3GPa,0,0,0,0,
1,2.048103,5GPa,1.5GPa,0,0,0,0,
1,2.048103,5GPa,2.3GPa,0,0,0,0,
1,2.048103,5GPa,2.4GPa_decomp,0,0,0,0,
1,2.048103,5GPa,3.9GPa,0,1,0,0,0
1,2.048103,6.2GPa,0.7GPa,1,0,0,0,0
1,2.048103,6.2GPa,1GPa,1,0,0,0,0
1,2.048103,6.2GPa,1.3GPa,1,0,0,0,0
1,2.048103,6.2GPa,1.5GPa,1,0,0,0,0
1,2.048103,6.2GPa,2.3GPa,1,0,0,0,0
1,2.048103,6.2GPa,2.4GPa_decomp,1,0,0,0,0
1,2.048103,6.2GPa,3.9GPa,1,1,0,0,1
1,2.048103,6.2GPa,5GPa,1,0,0,0,0
1,2.048103,6.6GPa,0.7GPa,0,0,0,0,
1,2.048103,6.6GPa,1GPa,0,0,0,0,
