frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.628152,,,,,,,,,,,,,,,,
1.3GPa,0.189387,0.118964,,,,,,,,,,,,,,,
1.5GPa,0.161821,0.101648,0.854447,,,,,,,,,,,,,,
2.3GPa,0,0,0,0,,,,,,,,,,,,,
2.4GPa_decomp,0.0387016,0.0243105,0.204352,0.239163,0,,,,,,,,,,,,
3.9GPa,0.342962,0.215432,0.552211,0.471835,0,0.112845,,,,,,,,,,,
5GPa,0.239043,0.150155,0.792273,0.676955,0,0.161902,0.696996,,,,,,,,,,
6.2GPa,0.208866,0.1312,0.90674,0.774761,0,0.185294,0.609007,0.87376,,,,,,,,,
6.6GPa,0.651673,0.409349,0.290617,0.248317,0,0.0593882,0.52628,0.366815,0.320508,,,,,,,,
7.4GPa,0.367799,0.585526,0.0696566,0.0595178,0,0.0142344,0.126141,0.0879199,0.0768209,0.239685,,,,,,,
8.5GPa,0,0,0,0,0,0,0,0,0,0,0,,,,,,
9.8GPa,0,0,0,0,0,0,0,0,0,0,0,,,,,,
10.4GPa,0.0376611,0.0236569,0.198857,0.232732,0,0.973113,0.109811,0.157549,0.180312,0.0577914,0.0138517,0,0,,,,
12.8GPa,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
13.3GPa,0.173485,0.276184,0.0328559,0.0280736,0,0.00671416,0.0594988,0.0414704,0.0362352,0.113056,0.471684,0,0,0.00653364,0,,
15.6GPa,0.190268,0.119517,0.995371,0.850492,0,0.203406,0.554779,0.795958,0.910957,0.291969,0.0699805,0,0,0.197937,0,0.0330087,
