frame,path,two_theta,normalized_intensity,prominence,width_deg,peak_group,group_two_theta,delta_from_group,source_methods,source_count,confidence_tier,tier_score,accepted_standard,raw_intensity,residual_height,conventional_prominence,matched_filter_responses,best_matched_scale,best_matched_response,local_center_height,left_side_rise,right_side_rise,two_sided_contrast,local_noise,local_shape_snr,local_slope,local_curvature,width_estimate_deg,nearest_stronger_peak_deg,likely_shoulder,top_peaks_truncated
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,2.721717,3.46726e-05,3.46726e-05,0.00740163,,,,shoulder,1,C,100,0,-0.0675074,-0.00627344,3.46726e-05,,,0,0,0,0,0,0,0,0,0,0.00740163,0.0420701,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,3.030232,0.00476919,0.000774434,0.00796875,,,,raw,1,C,100.001,0,-0.0277034,0.00265605,0.000774434,,,0,-0.00148168,0.002876,-0.000816373,-0.000816373,0.00438022,-0.186377,0.0781484,0.000299386,0.00796875,0.0280467,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,3.310699,0.000739729,0.000739729,0.00915842,,,,raw;shoulder,2,C,200.001,0,-0.0231812,-0.00659089,0.000739729,,,0,-0.00545094,-0.000458889,-0.00406637,-0.00406637,0.00315649,-1.28826,-0.00639214,-0.000183515,0.00915842,0.0560935,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,3.478980,0.000417295,0.000417295,0.0141584,,,,shoulder,1,C,100,0,-0.0148418,-0.00425315,0.000417295,,,0,-0.000935886,0.000755985,-0.000271324,-0.000271324,0.00166661,-0.1628,0.0671402,0.000183963,0.0141584,0.0280467,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.390499,0.00083997,0.00083997,0.0217433,,,,raw;shoulder,2,C,200.001,0,0.0140079,-0.00406227,0.00083997,,,0,-0.00254086,-0.00148276,-0.000735752,-0.00148276,0.00231023,-0.641822,0.00650897,0.000215649,0.0217433,0.0701169,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.077644,0.00524197,0.00031779,0.022017,,,,shoulder,1,C,100,0,0.0296386,0.00524197,0.00031779,,,0,-0.00105921,0.000783825,-0.000648619,-0.000648619,0.00287144,-0.225886,0.0334016,0.000136632,0.022017,0.0841402,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.806860,9.06594e-05,9.06594e-05,0.0231954,,,,shoulder,1,C,100,0,0.0575967,-0.0810095,9.06594e-05,,,0,-0.00238154,0.000864273,-0.000449037,-0.000449037,0.003439,-0.130572,0.0856639,0.000154504,0.0231954,0.0280467,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.862953,0.00158837,0.00158837,0.100534,,,,shoulder,1,C,100.002,0,0.0638723,-0.0887415,0.00158837,,,0,-0.00296168,-0.000993,0.00139896,-0.000993,0.0025464,-0.389962,0.128917,0.000544892,0.100534,0.0280467,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.891000,0.00189249,0.00189249,0.0272986,,,,raw,1,C,100.002,0,0.0659067,-0.094365,0.00189249,,,0,-0.00735308,-0.00563532,-0.00297233,-0.00563532,0.00433942,-1.29863,0.16485,-0.000656065,0.0272986,0.0560935,0,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,6.031234,0.00113272,0.00113272,0.034172,,,,shoulder,1,C,100.001,0,0.102243,-0.0843176,0.00113272,,,0,-0.0390872,-0.0210115,0.00383675,-0.0210115,0.0375511,-0.559545,0.725338,-0.000255267,0.034172,0.0841402,1,0
