frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.423964,,,,,,,,,,,,,,,,
1.3GPa,0.998799,0.712363,,,,,,,,,,,,,,,
1.5GPa,0.244676,0.961405,0.24713,,,,,,,,,,,,,,
2.3GPa,0.509454,0.755402,0.521166,0.714076,,,,,,,,,,,,,
2.4GPa_decomp,0.731143,0.617407,0.740164,0.701425,0.681108,,,,,,,,,,,,
3.9GPa,0.232156,0.863924,0.231664,0.885747,0.610391,0.19741,,,,,,,,,,,
5GPa,0.748222,0.774019,0.751889,0.826425,0.847619,0.645603,0.849762,,,,,,,,,,
6.2GPa,0.671149,0.755525,0.674112,0.801064,0.835359,0.572187,0.833877,0.98217,,,,,,,,,
6.6GPa,0.930012,0.734829,0.922181,0.730084,0.581759,0.698639,0.682295,0.693165,0.617633,,,,,,,,
7.4GPa,0.587777,0.735522,0.593948,0.768776,0.827334,0.509748,0.814416,0.887724,0.929502,0.548314,,,,,,,
8.5GPa,0.544265,0.733374,0.552875,0.759478,0.847311,0.479731,0.808584,0.834775,0.892601,0.504003,0.969534,,,,,,
9.8GPa,0.588701,0.668324,0.588633,0.700224,0.704473,0.483772,0.739593,0.82583,0.856688,0.558166,0.951782,0.882004,,,,,
10.4GPa,0.917831,0.754689,0.90833,0.770413,0.607711,0.759828,0.715862,0.704591,0.633165,0.981789,0.58742,0.549214,0.559959,,,,
12.8GPa,0.767462,0.602057,0.764706,0.652574,0.640027,0.548609,0.708018,0.739017,0.722268,0.751813,0.727925,0.717878,0.731312,0.757711,,,
13.3GPa,0.91118,0.753387,0.901939,0.782478,0.6089,0.779019,0.732291,0.699257,0.637548,0.961584,0.599809,0.556281,0.565407,0.994053,0.81434,,
15.6GPa,0.963912,0.745876,0.96121,0.743698,0.621426,0.664462,0.719089,0.715838,0.639426,0.978156,0.636592,0.616886,0.631044,0.950562,0.763158,0.954023,
