frame,3.0-8.0,4.0-9.0,5.0-10.0,6.0-11.0,7.0-12.0,8.0-13.0,9.0-14.0,10.0-15.0,11.0-16.0,12.0-17.0,13.0-18.0,14.0-19.0,15.0-20.0,16.0-21.0,17.0-22.0,18.0-23.0
3.0-8.0,,,,,,,,,,,,,,,,
4.0-9.0,0.956953,,,,,,,,,,,,,,,
5.0-10.0,0.855774,0.831475,,,,,,,,,,,,,,
6.0-11.0,0.582943,0.58256,0.576762,,,,,,,,,,,,,
7.0-12.0,0.694137,0.774832,0.64293,0.724627,,,,,,,,,,,,
8.0-13.0,0.730199,0.815479,0.648817,0.704392,0.991842,,,,,,,,,,,
9.0-14.0,0.713554,0.797016,0.633472,0.72505,0.99168,0.994363,,,,,,,,,,
10.0-15.0,0.695779,0.810033,0.664996,0.553877,0.904383,0.921985,0.925723,,,,,,,,,
11.0-16.0,0.807106,0.859795,0.763321,0.750287,0.90253,0.902281,0.916145,0.891433,,,,,,,,
12.0-17.0,0.55228,0.561021,0.471665,0.425769,0.615449,0.636539,0.667713,0.712416,0.682997,,,,,,,
13.0-18.0,0.595812,0.579805,0.531435,0.499854,0.622017,0.642654,0.664716,0.687237,0.716574,0.940655,,,,,,
14.0-19.0,0.309335,0.294774,0.335734,0.312298,0.398216,0.401642,0.403696,0.375197,0.468948,0.704628,0.799244,,,,,
15.0-20.0,0.782736,0.760217,0.684195,0.660625,0.735058,0.745788,0.728394,0.607642,0.790985,0.469026,0.549598,0.506743,,,,
16.0-21.0,0.577827,0.529421,0.494907,0.682801,0.631783,0.618972,0.630531,0.451469,0.688222,0.4101,0.488957,0.495854,0.905228,,,
17.0-22.0,0.690512,0.760157,0.644309,0.656482,0.830834,0.840224,0.852486,0.798149,0.905418,0.659475,0.687539,0.583615,0.817807,0.771459,,
18.0-23.0,0.206885,0.244606,0.327557,0.432215,0.469728,0.44044,0.456391,0.439929,0.503365,0.480323,0.509507,0.518828,0.309964,0.331462,0.547401,
