frame,3.0-8.0,4.0-9.0,5.0-10.0,6.0-11.0,7.0-12.0,8.0-13.0,9.0-14.0,10.0-15.0,11.0-16.0,12.0-17.0,13.0-18.0,14.0-19.0,15.0-20.0,16.0-21.0,17.0-22.0,18.0-23.0
3.0-8.0,,,,,,,,,,,,,,,,
4.0-9.0,0.836062,,,,,,,,,,,,,,,
5.0-10.0,0.721386,0.646998,,,,,,,,,,,,,,
6.0-11.0,0.719777,0.651714,0.965262,,,,,,,,,,,,,
7.0-12.0,0.700199,0.621787,0.968557,0.980268,,,,,,,,,,,,
8.0-13.0,0.665436,0.694643,0.786918,0.867553,0.849574,,,,,,,,,,,
9.0-14.0,0.687989,0.583732,0.810337,0.878854,0.864598,0.953435,,,,,,,,,,
10.0-15.0,0.526231,0.609147,0.692706,0.695251,0.686217,0.753895,0.643822,,,,,,,,,
11.0-16.0,0.6691,0.706279,0.781461,0.783857,0.748293,0.778369,0.736039,0.777932,,,,,,,,
12.0-17.0,0.567331,0.416749,0.719815,0.7321,0.70442,0.704713,0.776809,0.551271,0.667747,,,,,,,
13.0-18.0,0.535879,0.358018,0.677129,0.724386,0.701715,0.71972,0.810247,0.54201,0.685752,0.870742,,,,,,
14.0-19.0,0.534511,0.393981,0.683224,0.727092,0.720836,0.730972,0.821893,0.496231,0.661663,0.816811,0.944143,,,,,
15.0-20.0,0.516262,0.333482,0.566973,0.646705,0.601687,0.704302,0.813531,0.428088,0.501967,0.623319,0.763482,0.778542,,,,
16.0-21.0,0.647565,0.621939,0.851523,0.852454,0.846031,0.839411,0.850455,0.716422,0.833157,0.705051,0.748846,0.785037,0.659767,,,
17.0-22.0,0.650949,0.705378,0.833756,0.846749,0.835548,0.891631,0.877681,0.762074,0.844188,0.699844,0.751913,0.793355,0.661029,0.925667,,
18.0-23.0,0.685537,0.677078,0.915221,0.901355,0.901995,0.882233,0.896393,0.75944,0.83443,0.761666,0.758337,0.770591,0.691111,0.930214,0.942851,
