frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.816925,,,,,,,,,,,,,,,,
1.3GPa,0.870827,0.82121,,,,,,,,,,,,,,,
1.5GPa,0.815496,0.867166,0.822768,,,,,,,,,,,,,,
2.3GPa,0.834966,0.880503,0.83743,0.865979,,,,,,,,,,,,,
2.4GPa_decomp,0.814797,0.757384,0.826258,0.764736,0.795933,,,,,,,,,,,,
3.9GPa,0.797615,0.852205,0.802902,0.846225,0.86024,0.733914,,,,,,,,,,,
5GPa,0.834545,0.866498,0.830742,0.862999,0.87432,0.763054,0.845585,,,,,,,,,,
6.2GPa,0.816963,0.862018,0.816836,0.855943,0.865368,0.752271,0.832772,0.852564,,,,,,,,,
6.6GPa,0.852673,0.81162,0.853083,0.811217,0.826486,0.812206,0.788213,0.82843,0.811567,,,,,,,,
7.4GPa,0.818739,0.869783,0.828943,0.871747,0.877258,0.757935,0.845153,0.866358,0.860871,0.817673,,,,,,,
8.5GPa,0.821342,0.864595,0.828497,0.862039,0.874664,0.773257,0.843176,0.872324,0.863518,0.825195,0.882057,,,,,,
9.8GPa,0.823405,0.843506,0.826572,0.835083,0.850817,0.762126,0.823015,0.84723,0.840897,0.825517,0.858981,0.857112,,,,,
10.4GPa,0.840268,0.766941,0.843488,0.766091,0.793189,0.826731,0.752363,0.777181,0.767527,0.821005,0.774069,0.781096,0.788479,,,,
12.8GPa,0.872387,0.819653,0.877953,0.824334,0.850642,0.852255,0.806717,0.845486,0.822044,0.849152,0.831566,0.834648,0.827805,0.84916,,,
13.3GPa,0.847328,0.766165,0.853026,0.776088,0.797051,0.841842,0.754675,0.793948,0.776173,0.83469,0.790213,0.785208,0.788152,0.846988,0.858982,,
15.6GPa,0.836362,0.808657,0.852431,0.812123,0.829641,0.82878,0.795739,0.808366,0.804517,0.831591,0.810358,0.810412,0.804603,0.817868,0.862815,0.836475,
