frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.0418401,,,,,,,,,,,,,,,,
1.3GPa,0.960528,0.0354158,,,,,,,,,,,,,,,
1.5GPa,0.027102,0.931843,0.0162933,,,,,,,,,,,,,,
2.3GPa,0.0245196,0.411418,0.0148795,0.423258,,,,,,,,,,,,,
2.4GPa_decomp,0.157861,0.533385,0.151627,0.634545,0.229107,,,,,,,,,,,,
3.9GPa,0.0141112,0.0202766,0.0125565,0.0537076,0.318224,0.108645,,,,,,,,,,,
5GPa,0.0196458,0.0172998,0.0195657,0.0360343,0.0521136,0.256965,0.49511,,,,,,,,,,
6.2GPa,0.0223869,0.0361747,0.0233739,0.0663324,0.00906514,0.075242,0.143908,0.416682,,,,,,,,,
6.6GPa,0.371388,0.138221,0.42734,0.0713666,0.0415923,0.349121,0.0868217,0.230638,0.0396288,,,,,,,,
7.4GPa,0.0100286,0.0313633,0.0104702,0.0585779,0.0112328,0.0822984,0.0715054,0.309513,0.908071,0.022047,,,,,,,
8.5GPa,0.00970911,0.0224995,0.00807613,0.0353064,0.0133856,0.0588705,0.06979,0.253788,0.708391,0.0255834,0.837093,,,,,,
9.8GPa,0.00816809,0.0225523,0.00646271,0.0337825,0.0160205,0.0544898,0.03681,0.200097,0.663723,0.0218061,0.815241,0.956226,,,,,
10.4GPa,0.342379,0.146803,0.44477,0.086481,0.078278,0.196929,0.0872368,0.0390552,0.0378964,0.80444,0.0192743,0.0188078,0.0159749,,,,
12.8GPa,0.0489595,0.0854645,0.055252,0.153911,0.0370218,0.319521,0.0867013,0.136766,0.209732,0.146454,0.288683,0.460384,0.489896,0.100189,,,
13.3GPa,0.141421,0.107155,0.197885,0.0609417,0.0229835,0.128508,0.0415114,0.0209625,0.0260893,0.550018,0.0133488,0.013347,0.0134551,0.682629,0.0833103,,
15.6GPa,0.736677,0.290714,0.741853,0.257877,0.1695,0.331541,0.0741679,0.0412102,0.0352927,0.596629,0.0219994,0.0196845,0.0159696,0.59577,0.0832887,0.259585,
