frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.0418244,,,,,,,,,,,,,,,,
1.3GPa,0.960573,0.0353948,,,,,,,,,,,,,,,
1.5GPa,0.0270724,0.931847,0.016253,,,,,,,,,,,,,,
2.3GPa,0.0244301,0.411406,0.014822,0.423255,,,,,,,,,,,,,
2.4GPa_decomp,0.158476,0.537841,0.15249,0.639907,0.229903,,,,,,,,,,,,
3.9GPa,0.0140909,0.0202512,0.0125403,0.0536884,0.31818,0.109113,,,,,,,,,,,
5GPa,0.0195933,0.0172521,0.0195337,0.0359952,0.0519666,0.257643,0.495111,,,,,,,,,,
6.2GPa,0.0223014,0.0361167,0.0232595,0.0662632,0.00889265,0.0740637,0.143866,0.416583,,,,,,,,,
6.6GPa,0.371394,0.138222,0.427356,0.071361,0.0415618,0.352108,0.0868159,0.230633,0.0396032,,,,,,,,
7.4GPa,0.00996954,0.0313002,0.01039,0.0585154,0.0110361,0.0814909,0.071451,0.309456,0.908246,0.0220381,,,,,,,
8.5GPa,0.00966013,0.022459,0.00801541,0.035256,0.0132598,0.0583217,0.0697517,0.253706,0.70838,0.02556,0.837101,,,,,,
9.8GPa,0.00804931,0.0225193,0.00642542,0.0337807,0.0158393,0.0533136,0.0367945,0.200295,0.665024,0.0218122,0.816759,0.958206,,,,,
10.4GPa,0.342282,0.146814,0.444701,0.0863985,0.0781785,0.197538,0.0872398,0.0390109,0.0376177,0.804763,0.0190567,0.0186515,0.0156481,,,,
12.8GPa,0.0487635,0.0856092,0.0551518,0.154439,0.0361634,0.314845,0.0867755,0.136603,0.209721,0.147228,0.287846,0.461759,0.49137,0.0996366,,,
13.3GPa,0.14131,0.107143,0.197782,0.0608919,0.0229209,0.129093,0.0415036,0.0209319,0.0259459,0.550061,0.0132445,0.0132646,0.0132971,0.682606,0.0832795,,
15.6GPa,0.741686,0.292775,0.746477,0.259376,0.17052,0.333709,0.0747054,0.041365,0.0341871,0.601104,0.0212027,0.0190588,0.0153229,0.597473,0.0807075,0.260021,
