frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.720917,,,,,,,,,,,,,,,,
1.3GPa,0.990788,0.70374,,,,,,,,,,,,,,,
1.5GPa,0.763611,0.926581,0.781092,,,,,,,,,,,,,,
2.3GPa,0.71161,0.820623,0.71846,0.844251,,,,,,,,,,,,,
2.4GPa_decomp,0.722642,0.616934,0.73257,0.644474,0.647816,,,,,,,,,,,,
3.9GPa,0.713143,0.904231,0.719743,0.933658,0.760969,0.62905,,,,,,,,,,,
5GPa,0.752207,0.79601,0.762344,0.866888,0.783073,0.680221,0.859569,,,,,,,,,,
6.2GPa,0.729323,0.789226,0.744931,0.839557,0.772998,0.599192,0.848725,0.966983,,,,,,,,,
6.6GPa,0.834915,0.713773,0.829237,0.733286,0.689807,0.696419,0.704422,0.739904,0.678246,,,,,,,,
7.4GPa,0.726159,0.80327,0.739348,0.867724,0.831622,0.683364,0.834758,0.887948,0.977714,0.718549,,,,,,,
8.5GPa,0.7082,0.77957,0.740378,0.819681,0.805092,0.678714,0.810611,0.874434,0.898438,0.717402,0.966082,,,,,,
9.8GPa,0.727212,0.788067,0.738474,0.812223,0.727082,0.587345,0.803594,0.875228,0.880719,0.704817,0.947053,0.946321,,,,,
10.4GPa,0.89738,0.655293,0.872726,0.668546,0.620066,0.779946,0.633119,0.720628,0.632466,0.836314,0.629741,0.663003,0.651922,,,,
12.8GPa,0.819306,0.759912,0.854161,0.77676,0.775076,0.798434,0.723943,0.838566,0.757683,0.815602,0.781506,0.770327,0.773132,0.852706,,,
13.3GPa,0.857614,0.666384,0.859804,0.67637,0.617972,0.770231,0.611455,0.712352,0.658278,0.828947,0.704819,0.705218,0.665879,0.935645,0.815364,,
15.6GPa,0.862004,0.676092,0.849013,0.729139,0.695041,0.720441,0.649737,0.712859,0.665739,0.862444,0.709488,0.738919,0.657542,0.870215,0.760818,0.805711,
