frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.860459,,,,,,,,,,,,,,,,
1.3GPa,0.995394,0.85187,,,,,,,,,,,,,,,
1.5GPa,0.881806,0.96329,0.890546,,,,,,,,,,,,,,
2.3GPa,0.855805,0.910311,0.85923,0.922125,,,,,,,,,,,,,
2.4GPa_decomp,0.861321,0.808467,0.866285,0.822237,0.823908,,,,,,,,,,,,
3.9GPa,0.856572,0.952116,0.859872,0.966829,0.880485,0.814525,,,,,,,,,,,
5GPa,0.876103,0.898005,0.881172,0.933444,0.891537,0.84011,0.929785,,,,,,,,,,
6.2GPa,0.864661,0.894613,0.872466,0.919779,0.886499,0.799596,0.924362,0.983491,,,,,,,,,
6.6GPa,0.917458,0.856886,0.914619,0.866643,0.844904,0.848209,0.852211,0.869952,0.839123,,,,,,,,
7.4GPa,0.86308,0.901635,0.869674,0.933862,0.915811,0.841682,0.917379,0.943974,0.988857,0.859274,,,,,,,
8.5GPa,0.8541,0.889785,0.870189,0.909841,0.902546,0.839357,0.905305,0.937217,0.949219,0.858701,0.983041,,,,,,
9.8GPa,0.863606,0.894033,0.869237,0.906111,0.863541,0.793673,0.901797,0.937614,0.94036,0.852409,0.973526,0.97316,,,,,
10.4GPa,0.94869,0.827646,0.936363,0.834273,0.810033,0.889973,0.816559,0.860314,0.816233,0.918157,0.814871,0.831502,0.825961,,,,
12.8GPa,0.909653,0.879956,0.92708,0.88838,0.887538,0.899217,0.861972,0.919283,0.878842,0.907801,0.890753,0.885163,0.886566,0.926353,,,
13.3GPa,0.928807,0.833192,0.929902,0.838185,0.808986,0.885115,0.805727,0.856176,0.829139,0.914473,0.852409,0.852609,0.83294,0.967823,0.907682,,
15.6GPa,0.931002,0.838046,0.924507,0.864569,0.847521,0.860221,0.824869,0.856429,0.832869,0.931222,0.854744,0.86946,0.828771,0.935107,0.880409,0.902856,
