frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.0276745,,,,,,,,,,,,,,,,
1.3GPa,0.950341,0.0210811,,,,,,,,,,,,,,,
1.5GPa,0.0210543,0.869761,0.0112653,,,,,,,,,,,,,,
2.3GPa,0.0277927,0.34663,0.0161234,0.54656,,,,,,,,,,,,,
2.4GPa_decomp,0.117087,0.593123,0.107578,0.611564,0.223153,,,,,,,,,,,,
3.9GPa,0.0119707,0.0258306,0.0098668,0.0795871,0.300364,0.105003,,,,,,,,,,,
5GPa,0.00998436,0.00919236,0.00962894,0.0150866,0.0341864,0.143607,0.544173,,,,,,,,,,
6.2GPa,0.0155918,0.0196588,0.0172126,0.0317698,0.00845082,0.0491489,0.320626,0.785017,,,,,,,,,
6.6GPa,0.348588,0.122749,0.396184,0.0794706,0.0541288,0.337833,0.109996,0.193271,0.0697,,,,,,,,
7.4GPa,0.0115172,0.0242879,0.0094455,0.0432369,0.0102207,0.0700106,0.134628,0.417227,0.793569,0.0252006,,,,,,,
8.5GPa,0.0165784,0.0191398,0.0103468,0.029449,0.0142297,0.0532927,0.0801704,0.226007,0.526355,0.0243815,0.819216,,,,,,
9.8GPa,0.0399512,0.018268,0.0223293,0.0273145,0.023016,0.0434094,0.031507,0.118092,0.38296,0.0217747,0.71628,0.910141,,,,,
10.4GPa,0.331199,0.11847,0.424144,0.102992,0.108639,0.143566,0.0991808,0.0343254,0.0320773,0.727321,0.0175387,0.0158549,0.0152246,,,,
12.8GPa,0.0219626,0.0183616,0.0213488,0.0329667,0.00821213,0.0769349,0.0223245,0.055165,0.131787,0.0406245,0.215368,0.26754,0.293293,0.0246856,,,
13.3GPa,0.139891,0.100972,0.177769,0.0668891,0.0265288,0.107572,0.0532211,0.0238785,0.0216833,0.536097,0.0147941,0.0139782,0.0165098,0.638449,0.0253462,,
15.6GPa,0.661319,0.193,0.654469,0.209344,0.177216,0.227952,0.0619423,0.0316942,0.0335407,0.5417,0.0211071,0.0180021,0.0222087,0.591565,0.0204605,0.200781,
