frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.404205,,,,,,,,,,,,,,,,
1.3GPa,0.717315,0.389008,,,,,,,,,,,,,,,
1.5GPa,0.386115,0.700031,0.401259,,,,,,,,,,,,,,
2.3GPa,0.392256,0.528156,0.389805,0.572954,,,,,,,,,,,,,
2.4GPa_decomp,0.395581,0.54108,0.398873,0.541261,0.426895,,,,,,,,,,,,
3.9GPa,0.370753,0.428383,0.399151,0.452863,0.490704,0.377243,,,,,,,,,,,
5GPa,0.379031,0.410615,0.380775,0.410143,0.414463,0.425152,0.574229,,,,,,,,,,
6.2GPa,0.390837,0.406504,0.383478,0.414226,0.403925,0.375956,0.503653,0.66637,,,,,,,,,
6.6GPa,0.507051,0.413499,0.498471,0.399623,0.400587,0.454862,0.392439,0.429872,0.387186,,,,,,,,
7.4GPa,0.39393,0.413472,0.381014,0.438702,0.430288,0.383518,0.456284,0.541726,0.663408,0.376253,,,,,,,
8.5GPa,0.392906,0.405503,0.381967,0.416832,0.41006,0.382352,0.429182,0.465771,0.566609,0.382294,0.695578,,,,,,
9.8GPa,0.406513,0.425126,0.393725,0.422585,0.401061,0.368965,0.403646,0.452203,0.521508,0.38422,0.643065,0.711211,,,,,
10.4GPa,0.501502,0.411014,0.521214,0.389977,0.40937,0.408087,0.383697,0.383763,0.374639,0.601618,0.384517,0.370931,0.373156,,,,
12.8GPa,0.404331,0.410832,0.399661,0.401472,0.40566,0.416769,0.378599,0.41868,0.427289,0.392511,0.459481,0.466064,0.499124,0.402082,,,
13.3GPa,0.446324,0.395966,0.452388,0.379854,0.368328,0.403473,0.364244,0.385956,0.369693,0.546342,0.383612,0.362135,0.371433,0.616959,0.390332,,
15.6GPa,0.609696,0.432453,0.617979,0.451978,0.44352,0.438192,0.392424,0.406191,0.388095,0.551597,0.383784,0.37097,0.382278,0.586365,0.396718,0.468096,
