frame_a,frame_b,overall,peak_presence_jaccard,peak_roi_area_cosine,same_window_acf_shifted_median,all_window_acf_frame_median
1GPa,0.7GPa,0.419948,0.322188,0.0418401,0.860459,0.816925
1.3GPa,0.7GPa,0.731673,0.325175,0.960528,0.995394,0.870827
1.3GPa,1GPa,0.40907,0.299685,0.0354158,0.85187,0.82121
1.5GPa,0.7GPa,0.401585,0.270769,0.027102,0.881806,0.815496
1.5GPa,1GPa,0.73112,0.368098,0.931843,0.96329,0.867166
1.5GPa,1.3GPa,0.409901,0.295681,0.0162933,0.890546,0.822768
2.3GPa,0.7GPa,0.402535,0.282209,0.0245196,0.855805,0.834966
2.3GPa,1GPa,0.563015,0.358434,0.411418,0.910311,0.880503
2.3GPa,1.3GPa,0.403722,0.29085,0.0148795,0.85923,0.83743
2.3GPa,1.5GPa,0.551882,0.315951,0.423258,0.922125,0.865979
2.4GPa_decomp,0.7GPa,0.417452,0.216028,0.157861,0.861321,0.814797
2.4GPa_decomp,1GPa,0.533974,0.281879,0.533385,0.808467,0.757384
2.4GPa_decomp,1.3GPa,0.42325,0.230189,0.151627,0.866285,0.826258
2.4GPa_decomp,1.5GPa,0.558546,0.254355,0.634545,0.822237,0.764736
2.4GPa_decomp,2.3GPa,0.438911,0.245734,0.229107,0.823908,0.795933
3.9GPa,0.7GPa,0.384079,0.253968,0.0141112,0.856572,0.797615
3.9GPa,1GPa,0.439554,0.329193,0.0202766,0.952116,0.852205
3.9GPa,1.3GPa,0.414522,0.338129,0.0125565,0.859872,0.802902
3.9GPa,1.5GPa,0.460079,0.353333,0.0537076,0.966829,0.846225
3.9GPa,2.3GPa,0.51314,0.321543,0.318224,0.880485,0.86024
3.9GPa,2.4GPa_decomp,0.387716,0.234657,0.108645,0.814525,0.733914
5GPa,0.7GPa,0.390129,0.239521,0.0196458,0.876103,0.834545
5GPa,1GPa,0.427636,0.322485,0.0172998,0.898005,0.866498
5GPa,1.3GPa,0.39116,0.24127,0.0195657,0.881172,0.830742
5GPa,1.5GPa,0.429076,0.291793,0.0360343,0.933444,0.862999
5GPa,2.3GPa,0.436746,0.319018,0.0521136,0.891537,0.87432
5GPa,2.4GPa_decomp,0.469024,0.312727,0.256965,0.84011,0.763054
5GPa,3.9GPa,0.573828,0.321429,0.49511,0.929785,0.845585
6.2GPa,0.7GPa,0.401082,0.28254,0.0223869,0.864661,0.816963
6.2GPa,1GPa,0.427012,0.308383,0.0361747,0.894613,0.862018
6.2GPa,1.3GPa,0.39413,0.257426,0.0233739,0.872466,0.816836
6.2GPa,1.5GPa,0.440449,0.309148,0.0663324,0.919779,0.855943
6.2GPa,2.3GPa,0.417769,0.308411,0.00906514,0.886499,0.865368
6.2GPa,2.4GPa_decomp,0.395332,0.285714,0.075242,0.799596,0.752271
6.2GPa,3.9GPa,0.464589,0.318937,0.143908,0.924362,0.832772
6.2GPa,5GPa,0.570785,0.346278,0.416682,0.983491,0.852564
6.6GPa,0.7GPa,0.521434,0.281787,0.371388,0.917458,0.852673
6.6GPa,1GPa,0.425891,0.26087,0.138221,0.856886,0.81162
6.6GPa,1.3GPa,0.51741,0.223776,0.42734,0.914619,0.853083
6.6GPa,1.5GPa,0.408526,0.263158,0.0713666,0.866643,0.811217
6.6GPa,2.3GPa,0.409265,0.296667,0.0415923,0.844904,0.826486
6.6GPa,2.4GPa_decomp,0.465685,0.198502,0.349121,0.848209,0.812206
6.6GPa,3.9GPa,0.400435,0.244898,0.0868217,0.852211,0.788213
6.6GPa,5GPa,0.454946,0.25,0.230638,0.869952,0.82843
6.6GPa,6.2GPa,0.387495,0.245847,0.0396288,0.839123,0.811567
7.4GPa,0.7GPa,0.41141,0.322785,0.0100286,0.86308,0.818739
7.4GPa,1GPa,0.431753,0.318713,0.0313633,0.901635,0.869783
7.4GPa,1.3GPa,0.394526,0.266026,0.0104702,0.869674,0.828943
7.4GPa,1.5GPa,0.458767,0.353312,0.0585779,0.933862,0.871747
7.4GPa,2.3GPa,0.444296,0.360502,0.0112328,0.915811,0.877258
7.4GPa,2.4GPa_decomp,0.394216,0.25,0.0822984,0.841682,0.757935
7.4GPa,3.9GPa,0.45334,0.347541,0.0715054,0.917379,0.845153
7.4GPa,5GPa,0.521847,0.314985,0.309513,0.943974,0.866358
7.4GPa,6.2GPa,0.707267,0.308411,0.908071,0.988857,0.860871
7.4GPa,6.6GPa,0.386104,0.242812,0.022047,0.859274,0.817673
8.5GPa,0.7GPa,0.40898,0.320132,0.00970911,0.8541,0.821342
8.5GPa,1GPa,0.418139,0.296407,0.0224995,0.889785,0.864595
8.5GPa,1.3GPa,0.39204,0.26087,0.00807613,0.870189,0.828497
8.5GPa,1.5GPa,0.429987,0.308917,0.0353064,0.909841,0.862039
8.5GPa,2.3GPa,0.420725,0.3,0.0133856,0.902546,0.874664
8.5GPa,2.4GPa_decomp,0.396393,0.271062,0.0588705,0.839357,0.773257
8.5GPa,3.9GPa,0.436974,0.31,0.06979,0.905305,0.843176
8.5GPa,5GPa,0.48676,0.263804,0.253788,0.937217,0.872324
8.5GPa,6.2GPa,0.6343,0.292605,0.708391,0.949219,0.863518
8.5GPa,6.6GPa,0.391877,0.253378,0.0255834,0.858701,0.825195
8.5GPa,7.4GPa,0.710573,0.372937,0.837093,0.983041,0.882057
9.8GPa,0.7GPa,0.413127,0.326984,0.00816809,0.863606,0.823405
9.8GPa,1GPa,0.441885,0.370821,0.0225523,0.894033,0.843506
9.8GPa,1.3GPa,0.398636,0.282468,0.00646271,0.869237,0.826572
9.8GPa,1.5GPa,0.441778,0.357595,0.0337825,0.906111,0.835083
9.8GPa,2.3GPa,0.40857,0.295522,0.0160205,0.863541,0.850817
9.8GPa,2.4GPa_decomp,0.381442,0.262976,0.0544898,0.793673,0.762126
9.8GPa,3.9GPa,0.420076,0.300633,0.03681,0.901797,0.823015
9.8GPa,5GPa,0.489143,0.32716,0.200097,0.937614,0.84723
9.8GPa,6.2GPa,0.622698,0.3125,0.663723,0.94036,0.840897
9.8GPa,6.6GPa,0.395786,0.271242,0.0218061,0.852409,0.825517
9.8GPa,7.4GPa,0.684076,0.331288,0.815241,0.973526,0.858981
9.8GPa,8.5GPa,0.742186,0.377483,0.956226,0.97316,0.857112
10.4GPa,0.7GPa,0.51477,0.275081,0.342379,0.94869,0.840268
10.4GPa,1GPa,0.431645,0.30581,0.146803,0.827646,0.766941
10.4GPa,1.3GPa,0.532965,0.244966,0.44477,0.936363,0.843488
10.4GPa,1.5GPa,0.39793,0.257764,0.086481,0.834273,0.766091
10.4GPa,2.3GPa,0.415883,0.318328,0.078278,0.810033,0.793189
10.4GPa,2.4GPa_decomp,0.435816,0.213523,0.196929,0.889973,0.826731
