frame_a,frame_b,overall,peak_presence_jaccard,peak_roi_area_cosine,same_window_acf_shifted_median,all_window_acf_frame_median
1GPa,0.7GPa,0.416982,0.313725,0.0418244,0.860459,0.816925
1.3GPa,0.7GPa,0.726177,0.309434,0.960573,0.995394,0.870827
1.3GPa,1GPa,0.399089,0.271186,0.0353948,0.85187,0.82121
1.5GPa,0.7GPa,0.398668,0.262458,0.0270724,0.881806,0.815496
1.5GPa,1GPa,0.725135,0.350993,0.931847,0.96329,0.867166
1.5GPa,1.3GPa,0.400825,0.269784,0.016253,0.890546,0.822768
2.3GPa,0.7GPa,0.399722,0.274247,0.0244301,0.855805,0.834966
2.3GPa,1GPa,0.558448,0.345395,0.411406,0.910311,0.880503
2.3GPa,1.3GPa,0.395993,0.268817,0.014822,0.85923,0.83743
2.3GPa,1.5GPa,0.544308,0.294314,0.423255,0.922125,0.865979
2.4GPa_decomp,0.7GPa,0.40964,0.193182,0.158476,0.861321,0.814797
2.4GPa_decomp,1GPa,0.524792,0.251825,0.537841,0.808467,0.757384
2.4GPa_decomp,1.3GPa,0.4112,0.195021,0.15249,0.866285,0.826258
2.4GPa_decomp,1.5GPa,0.546698,0.215909,0.639907,0.822237,0.764736
2.4GPa_decomp,2.3GPa,0.426827,0.210526,0.229903,0.823908,0.795933
3.9GPa,0.7GPa,0.379376,0.24055,0.0140909,0.856572,0.797615
3.9GPa,1GPa,0.434295,0.314189,0.0202512,0.952116,0.852205
3.9GPa,1.3GPa,0.408227,0.320158,0.0125403,0.859872,0.802902
3.9GPa,1.5GPa,0.451805,0.32971,0.0536884,0.966829,0.846225
3.9GPa,2.3GPa,0.504108,0.295775,0.31818,0.880485,0.86024
3.9GPa,2.4GPa_decomp,0.376841,0.203187,0.109113,0.814525,0.733914
5GPa,0.7GPa,0.389235,0.237013,0.0195933,0.876103,0.834545
5GPa,1GPa,0.423565,0.310897,0.0172521,0.898005,0.866498
5GPa,1.3GPa,0.383947,0.22069,0.0195337,0.881172,0.830742
5GPa,1.5GPa,0.423967,0.277228,0.0359952,0.933444,0.862999
5GPa,2.3GPa,0.424714,0.284768,0.0519666,0.891537,0.87432
5GPa,2.4GPa_decomp,0.460573,0.288,0.257643,0.84011,0.763054
5GPa,3.9GPa,0.568066,0.304965,0.495111,0.929785,0.845585
