frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.401046,,,,,,,,,,,,,,,,
1.3GPa,0.711966,0.379739,,,,,,,,,,,,,,,
1.5GPa,0.382884,0.694337,0.393192,,,,,,,,,,,,,,
2.3GPa,0.389161,0.523313,0.382356,0.56579,,,,,,,,,,,,,
2.4GPa_decomp,0.388312,0.532686,0.387596,0.530652,0.416133,,,,,,,,,,,,
3.9GPa,0.366246,0.423329,0.393019,0.44544,0.482505,0.367826,,,,,,,,,,,
5GPa,0.377726,0.406281,0.374143,0.405115,0.403711,0.417173,0.568665,,,,,,,,,,
6.2GPa,0.387412,0.397799,0.375056,0.407496,0.394801,0.364777,0.494927,0.660369,,,,,,,,,
6.6GPa,0.501281,0.405299,0.490363,0.393409,0.390929,0.446573,0.383256,0.421926,0.379848,,,,,,,,
7.4GPa,0.389551,0.407172,0.37501,0.434137,0.423404,0.373253,0.45177,0.536478,0.656319,0.368781,,,,,,,
8.5GPa,0.391582,0.399484,0.37527,0.408344,0.402506,0.37409,0.422106,0.461094,0.558197,0.374351,0.6917,,,,,,
9.8GPa,0.403851,0.420188,0.387316,0.414541,0.392169,0.357642,0.392509,0.446285,0.512113,0.376291,0.635659,0.704969,,,,,
10.4GPa,0.495082,0.403149,0.513561,0.384341,0.399878,0.397904,0.377059,0.376186,0.365247,0.592652,0.377022,0.36534,0.365069,,,,
12.8GPa,0.403138,0.405,0.392245,0.395799,0.397764,0.405004,0.371253,0.410562,0.418333,0.386212,0.45549,0.459712,0.491513,0.394769,,,
13.3GPa,0.440477,0.38899,0.443899,0.375708,0.359313,0.39512,0.357698,0.377549,0.362603,0.534836,0.378363,0.356133,0.365851,0.606713,0.384064,,
15.6GPa,0.608172,0.427717,0.615236,0.452368,0.437749,0.434291,0.390172,0.402049,0.383602,0.545834,0.376612,0.368162,0.379157,0.5797,0.393176,0.463016,
