frame_a,frame_b,overall,peak_presence_jaccard,peak_roi_area_cosine,same_window_acf_shifted_median,all_window_acf_frame_median
1GPa,0.7GPa,0.401046,0.280323,0.0276745,0.860459,0.816925
1.3GPa,0.7GPa,0.711966,0.277603,0.950341,0.995394,0.870827
1.3GPa,1GPa,0.379739,0.228169,0.0210811,0.85187,0.82121
1.5GPa,0.7GPa,0.382884,0.22252,0.0210543,0.881806,0.815496
1.5GPa,1GPa,0.694337,0.316216,0.869761,0.96329,0.867166
1.5GPa,1.3GPa,0.393192,0.252252,0.0112653,0.890546,0.822768
2.3GPa,0.7GPa,0.389161,0.241192,0.0277927,0.855805,0.834966
2.3GPa,1GPa,0.523313,0.300532,0.34663,0.910311,0.880503
2.3GPa,1.3GPa,0.382356,0.228739,0.0161234,0.85923,0.83743
2.3GPa,1.5GPa,0.56579,0.25,0.54656,0.922125,0.865979
2.4GPa_decomp,0.7GPa,0.388312,0.167722,0.117087,0.861321,0.814797
2.4GPa_decomp,1GPa,0.532686,0.226994,0.593123,0.808467,0.757384
2.4GPa_decomp,1.3GPa,0.387596,0.166078,0.107578,0.866285,0.826258
2.4GPa_decomp,1.5GPa,0.530652,0.194357,0.611564,0.822237,0.764736
2.4GPa_decomp,2.3GPa,0.416133,0.185759,0.223153,0.823908,0.795933
3.9GPa,0.7GPa,0.366246,0.204852,0.0119707,0.856572,0.797615
3.9GPa,1GPa,0.423329,0.278075,0.0258306,0.952116,0.852205
3.9GPa,1.3GPa,0.393019,0.278997,0.0098668,0.859872,0.802902
3.9GPa,1.5GPa,0.44544,0.289326,0.0795871,0.966829,0.846225
3.9GPa,2.3GPa,0.482505,0.249322,0.300364,0.880485,0.86024
3.9GPa,2.4GPa_decomp,0.367826,0.180952,0.105003,0.814525,0.733914
5GPa,0.7GPa,0.377726,0.212366,0.00998436,0.876103,0.834545
5GPa,1GPa,0.406281,0.268421,0.00919236,0.898005,0.866498
5GPa,1.3GPa,0.374143,0.201166,0.00962894,0.881172,0.830742
5GPa,1.5GPa,0.405115,0.241287,0.0150866,0.933444,0.862999
5GPa,2.3GPa,0.403711,0.24,0.0341864,0.891537,0.87432
5GPa,2.4GPa_decomp,0.417173,0.261745,0.143607,0.84011,0.763054
5GPa,3.9GPa,0.568665,0.264624,0.544173,0.929785,0.845585
6.2GPa,0.7GPa,0.387412,0.249307,0.0155918,0.864661,0.816963
6.2GPa,1GPa,0.397799,0.239075,0.0196588,0.894613,0.862018
6.2GPa,1.3GPa,0.375056,0.208211,0.0172126,0.872466,0.816836
6.2GPa,1.5GPa,0.407496,0.244624,0.0317698,0.919779,0.855943
6.2GPa,2.3GPa,0.394801,0.243316,0.00845082,0.886499,0.865368
6.2GPa,2.4GPa_decomp,0.364777,0.220779,0.0491489,0.799596,0.752271
6.2GPa,3.9GPa,0.494927,0.254144,0.320626,0.924362,0.832772
6.2GPa,5GPa,0.660369,0.286517,0.785017,0.983491,0.852564
6.6GPa,0.7GPa,0.501281,0.24375,0.348588,0.917458,0.852673
6.6GPa,1GPa,0.405299,0.215297,0.122749,0.856886,0.81162
6.6GPa,1.3GPa,0.490363,0.173203,0.396184,0.914619,0.853083
6.6GPa,1.5GPa,0.393409,0.213018,0.0794706,0.866643,0.811217
6.6GPa,2.3GPa,0.390929,0.233533,0.0541288,0.844904,0.826486
6.6GPa,2.4GPa_decomp,0.446573,0.153571,0.337833,0.848209,0.812206
6.6GPa,3.9GPa,0.383256,0.175953,0.109996,0.852211,0.788213
6.6GPa,5GPa,0.421926,0.187683,0.193271,0.869952,0.82843
6.6GPa,6.2GPa,0.379848,0.198225,0.0697,0.839123,0.811567
7.4GPa,0.7GPa,0.389551,0.259053,0.0115172,0.86308,0.818739
7.4GPa,1GPa,0.407172,0.254545,0.0242879,0.901635,0.869783
7.4GPa,1.3GPa,0.37501,0.211144,0.0094455,0.869674,0.828943
7.4GPa,1.5GPa,0.434137,0.296089,0.0432369,0.933862,0.871747
7.4GPa,2.3GPa,0.423404,0.301676,0.0102207,0.915811,0.877258
7.4GPa,2.4GPa_decomp,0.373253,0.200637,0.0700106,0.841682,0.757935
7.4GPa,3.9GPa,0.45177,0.288952,0.134628,0.917379,0.845153
7.4GPa,5GPa,0.536478,0.264463,0.417227,0.943974,0.866358
7.4GPa,6.2GPa,0.656319,0.260989,0.793569,0.988857,0.860871
7.4GPa,6.6GPa,0.368781,0.190616,0.0252006,0.859274,0.817673
